patent_number,kind,type,provenance,title,assignee,matched_assignee,inventor,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
KR20220062664A,A,application,snap_filed, content item module arrays,스냅 인코포레이티드,Snap Inc,네와르 후삼 알 마지드,2019-09-27,2020-09-23,2022-05-17,,https://patentimages.storage.googleapis.com/47/c3/84/0170affb5c71b8/KR20220062664A.pdf,https://patents.google.com/patent/KR20220062664A/en,"retrieving, by the one or more processors, the plurality of content items; identifying a list of friends of the user on the messaging application; obtaining reaction data for each friend in the list of friends, the reaction data identifying a set of content items to which each friend in the list &hellip;"
KR20220074912A,A,application,snap_filed, Automated Dance Animation,스냅 인코포레이티드,Snap Inc,구루난단 크리쉬난 고룸콘다,2019-09-30,2020-09-25,2022-06-03,,https://patentimages.storage.googleapis.com/8d/c0/51/881f4050c40d92/KR20220074912A.pdf,https://patents.google.com/patent/KR20220074912A/en,"<b>assign</b> a probability value to each motion state of the set of motion states, wherein the associated probability value for the associated motion state of the first control point indicates that the displayed animation of the computer animation model is the associated associated with a first &hellip;"
KR20220138398A,A,application,snap_filed, Creating Augmented Reality Sessions Using Skeleton Tracking,스냅 인코포레이티드,Snap Inc,피어스 카우번,2020-02-05,2021-02-04,2022-10-12,,https://patentimages.storage.googleapis.com/5a/86/90/997335037dbff8/KR20220138398A.pdf,https://patents.google.com/patent/KR20220138398A/en,"&hellip;  regarding the coordinate system of the first device. An example of such a system is described in greater detail in U.S. Patent Application Serial No. 16/729,078, filed December 27, 2019, to the same owner, <b>assignee</b>, the application of which is incorporated herein by reference in its entirety. While &hellip;"
KR20230020525A,A,application,snap_filed, Dynamic augmented reality components,스냅 인코포레이티드,Snap Inc,에보니 제임스 찰튼,2020-06-10,2021-06-03,2023-02-10,,https://patentimages.storage.googleapis.com/e1/92/01/8f57f018ab200c/KR20230020525A.pdf,https://patents.google.com/patent/KR20230020525A/en,The technical problem of adding content originating from a third-party app to an augmented reality component maintained by the messaging server system is to modify the content captured by the camera according to the values of one or more properties and to <b>assign</b> the ID of the augmented reality &hellip;
KR20230058718A,A,application,snap_filed, Coexistence shared augmented reality without a shared backend,스냅 인코포레이티드,Snap Inc,아나 마리아 카르데나스 가스카,2020-09-10,2021-09-09,2023-05-03,,https://patentimages.storage.googleapis.com/cd/ff/94/62b3965bb77703/KR20230058718A.pdf,https://patents.google.com/patent/KR20230058718A/en,"An example of such a system is described in further detail in US patent application Ser. No. /16/729,078, filed on Dec. 27, 2019, same owner, <b>assignee</b>, which is incorporated herein by reference in its entirety. According to the disclosed examples, a plurality of shared AR experiences or mobile &hellip;"
KR20230060506A,A,application,snap_filed, Diffraction grating design method for augmented reality or virtual reality &hellip;,스냅 인코포레이티드,Snap Inc,데이빗 크로스비,2020-09-01,2021-09-01,2023-05-04,,https://patentimages.storage.googleapis.com/d8/45/78/80bad3dc2f75f6/KR20230060506A.pdf,https://patents.google.com/patent/KR20230060506A/en,A diffractive grating is disclosed for use as an output element of a diffractive waveguide coupler for augmented reality or virtual reality displays. The grating includes an interleaved rectangular grating 1213 comprising an array 1211 of first rectangular periodic optical structures and an array &hellip;
KR20230104989A,A,application,snap_filed, Location based augmented-reality system,스냅 인코포레이티드,Snap Inc,피어스 조지 카우번,2019-04-04,2020-03-17,2023-07-11,,https://patentimages.storage.googleapis.com/06/4f/b9/68ffde45d9273c/KR20230104989A.pdf,https://patents.google.com/patent/KR20230104989A/en,"In some demonstrative embodiments, the media content includes 3D typography. For example, a location-based AR system can <b>assign</b> a set of geo-location coordinates to 3D typography and present the 3D typography as AR content in presentation of an image at a client device. The text string f of the 3D &hellip;"
KR20230119207A,A,application,snap_filed, Configuration of permission-based media,스냅 인코포레이티드,Snap Inc,크리스틴 배론,2020-12-23,2021-12-15,2023-08-16,,https://patentimages.storage.googleapis.com/4b/a8/05/95b23938e4b8a6/KR20230119207A.pdf,https://patents.google.com/patent/KR20230119207A/en,"A permission-based media system for performing operations comprising: presenting a first media object at a client device associated with a user account, the first media object including a reference identifying the user account; receiving an input to select a first media object from a client device &hellip;"
KR20230121153A,A,application,snap_filed, Involvement analysis based on labels,스냅 인코포레이티드,Snap Inc,비토르 실바 소자,2020-12-31,2021-12-21,2023-08-17,,https://patentimages.storage.googleapis.com/37/49/98/6e30da66f12d5e/KR20230121153A.pdf,https://patents.google.com/patent/KR20230121153A/en,"The messaging system performs engagement analysis based on labels associated with content items created by users of the messaging system. The messaging system processes content items, including images, to identify elements within the images, and to <b>assign</b> to images based on conditions indicating &hellip;"
KR20230172526A,A,application,snap_filed, Waveguides and diffraction gratings for augmented or virtual reality displays,스냅 인코포레이티드,Snap Inc,알렉산드라 크레이,2021-06-09,2022-06-06,2023-12-22,,https://patentimages.storage.googleapis.com/36/5b/e9/3c951aea114db0/KR20230172526A.pdf,https://patents.google.com/patent/KR20230172526A/en,"A waveguide 5002 for use in a virtual reality (VR) or augmented reality (AR) device is disclosed. Waveguide 5002 has an input region 5006 configured to couple light to waveguide 5003 such that the light propagates under total reflection (TIR) within waveguide 5002, and optics configured to receive &hellip;"
KR20240047454A,A,application,snap_filed, System-on-chip with simultaneous USB communication,스냅 인코포레이티드,Snap Inc,프라빈 바부 바디벨루,2021-08-24,2022-07-29,2024-04-12,,https://patentimages.storage.googleapis.com/45/8e/ee/9b3e0a0b5ed8d0/KR20240047454A.pdf,https://patents.google.com/patent/KR20240047454A/en,"A frame having a first side and a second side, a first temple extending from a first side of the frame, a second temple extending from a second side of the frame, electronic components; a first system-on-chip (SoC) adjacent a first side of the frame coupled to the first set of electronic &hellip;"
KR20240055011A,A,application,snap_filed, Intelligent Predictive A/B Testing,스냅 인코포레이티드,Snap Inc,아나톨리 치클로프스키,2021-08-26,2022-07-29,2024-04-26,,https://patentimages.storage.googleapis.com/73/db/0c/2ee5f8ddac64dc/KR20240055011A.pdf,https://patents.google.com/patent/KR20240055011A/en,The A/B testing system is adapted to include a user correlation engine and an A/B test exposure module. The A/B testing system includes an A/B test server that provides at least one A/B test to users of a product and determines performance by collecting and analyzing the results of the A/B test(s) &hellip;
KR20240074814A,A,application,snap_filed, Unique vs. Open-Edition Non-Fungible Token Dynamics,스냅 인코포레이티드,Snap Inc,라지브 아드바니,2021-09-30,2022-09-22,2024-05-28,,https://patentimages.storage.googleapis.com/5b/c9/0e/39a3869f3243a8/KR20240074814A.pdf,https://patents.google.com/patent/KR20240074814A/en,"A first user may acquire a unique NFT created by the NFT system, such as through an NFT marketplace, and in response, the NFT system may <b>assign</b> special permissions associated with the unique NFT to the first user. By doing so, the first user may be presented with a specially configured interface &hellip;"
KR20240074816A,A,application,snap_filed, Control Augmented-Reality Experiences with Non-Fungible Tokens,스냅 인코포레이티드,Snap Inc,라지브 아드바니,2021-09-30,2022-09-22,2024-05-28,,https://patentimages.storage.googleapis.com/84/b0/a6/8ebb1c2c972053/KR20240074816A.pdf,https://patents.google.com/patent/KR20240074816A/en,"A first user may acquire a unique NFT created by the NFT system, such as through an NFT marketplace, and in response, the NFT system may <b>assign</b> special permissions associated with the unique NFT to the first user. By doing so, the first user may be presented with a specially configured interface &hellip;"
KR20240089525A,A,application,snap_filed, Inferring intent from posture and voice input,스냅 인코포레이티드,Snap Inc,마탄 조하르,2021-10-11,2022-10-11,2024-06-20,,https://patentimages.storage.googleapis.com/14/c5/69/367e459aa8b457/KR20240089525A.pdf,https://patents.google.com/patent/KR20240089525A/en,"Aspects of the disclosure provide a computer-readable storage medium storing at least one program, and methods for receiving an image depicting a person, identifying a set of skeletal joints of a person, and locating a set of skeletal joints. It involves a system that includes a method for &hellip;"
